Permutation,TrainDur,Subject,BestLambda,SpecAccuracy,GenAccuracy
1,1800,9,100000,0.0156217473915611,0.00413707347868382
1,1800,10,2.15443469003188,0.0525177407971111,0.0360894827076321
1,1800,11,2.15443469003188,0.010556499066209,0.012541375934168
1,1800,12,2.15443469003188,0.0253100610100649,0.0244614396029095
1,1800,13,0.464158883361278,0.0339547517851585,0.0272489503249458
1,1800,14,10,0.0321348837050975,0.0287905889505692
1,1800,15,2.15443469003188,0.010860112164066,0.0143919290146092
1,1800,16,0.1,0.0222713131568075,0.0278366049016064
1,1800,17,215.443469003188,0.0200265134289375,0.00696786791847488
1,1800,18,10,0.0144533830125626,0.0138676538962166
1,1800,19,10,0.0315245978555729,0.0311747951523088
1,2100,1,46.4158883361278,0.0394636905847512,0.0151400212526284
1,2100,2,2.15443469003188,0.0086209039618992,0.00750877005483225
1,2100,3,2.15443469003188,0.0410955964942751,0.0263947310075987
1,2100,4,100000,0.0221338714938531,-0.00299854278740239
1,2100,5,46.4158883361278,0.0458285570128651,0.0426179232900962
1,2100,6,100000,0.0493960542006736,0.0370414704406955
1,2100,7,215.443469003188,0.0265069208598268,0.0321108951666623
1,2100,8,2.15443469003188,0.0439130237067024,0.0350216402560835
1,2100,9,100000,0.0166510659772578,0.00375742007134346
1,2100,10,10,0.0539059844982201,0.034485191476268
1,2100,11,2.15443469003188,0.0100494976883282,0.012948385449655
1,2100,12,2.15443469003188,0.0248387682877405,0.023921042778149
1,2100,13,0.464158883361278,0.0340336062036804,0.0282378147020473
1,2100,14,10,0.0323349943699651,0.0294818877657097
1,2100,15,2.15443469003188,0.0100925544974395,0.0140582596219855
1,2100,16,0.1,0.0187474639613369,0.0278674916135606
1,2100,17,215.443469003188,0.0188493432620816,0.0066009330421041
1,2100,18,10,0.0125120313834037,0.0133560417169876
1,2100,19,2.15443469003188,0.0337825476629278,0.0319889070150546
2,30,1,2.15443469003188,0.00897737021802972,0.0119362834410732
2,30,2,100000,-0.0102949310689555,0.0115026161415652
2,30,3,10,0.0159279954552241,0.0288628263410222
2,30,4,0.1,0.0100319500782603,0.00042144022156252
2,30,5,10,0.0376335433648961,0.0247302647204568
2,30,6,100000,0.030500342081141,0.0249832226326402
2,30,7,0.1,0.0169325825190224,0.0201815273592874
2,30,8,10,0.027911369958844,0.0227449179003741
2,30,9,100000,0.00887516146661068,0.00745640339215255
2,30,10,100000,0.00752387617623961,0.0366687019395463
2,30,11,0.1,0.00389069675557351,0.00408575903931169
2,30,12,0.1,0.0134291071928914,0.0148381568235268
2,30,13,215.443469003188,0.0114387389153752,0.0170935757400338
2,30,14,0.464158883361278,0.0197793019735497,0.00733170769868564
2,30,15,10,-0.00122550301320394,0.0153493025489643
2,30,16,2.15443469003188,0.00891673756622962,0.0133658628031974
2,30,17,46.4158883361278,0.002389903303899,0.00163516628336573
2,30,18,2.15443469003188,0.00700609608739074,0.0105069813595412
2,30,19,100000,0.0121998932788917,0.0155936307230172
2,60,1,100000,0.0121693085935004,0.0135332311072208
2,60,2,100000,-0.0102453453009397,0.00481968079545952
2,60,3,46.4158883361278,0.0220371466530315,0.017641963496279
2,60,4,100000,0.0144565451031246,0.00640480442249995
2,60,5,10,0.0370318325912556,0.0245148992805931
2,60,6,100000,0.0312646380711934,0.0270635734905926
2,60,7,0.1,0.0139057577553002,0.0193665607290092
2,60,8,2.15443469003188,0.0196226259142228,0.0184037122877013
2,60,9,100000,0.00506277650867053,0.00275613830860095
2,60,10,10,0.020623535773418,0.021719125896125
2,60,11,2.15443469003188,-0.003577557558684,0.00986423924688867
2,60,12,2.15443469003188,0.012878928201918,0.0201677606492862
2,60,13,46.4158883361278,0.0163602793883862,0.0158179232870729
2,60,14,0.464158883361278,0.0265291801925145,0.00734032019319904
2,60,15,0.1,0.00503932408126734,0.0113275051490264
2,60,16,0.1,0.0127714003405226,0.0211337783047635
2,60,17,2.15443469003188,0.00675805251933399,0.00917424910775839
2,60,18,0.1,0.00538989181253943,0.00880265215934952
